"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed","delabel"
"ENSDARG00000087093","ENSDARG00000087093",607.245826510881,-0.516206266398414,0.0747166588593828,-6.90885104177259,4.88594656460692e-12,4.04195240368591e-09,"si:ch211-157c3.4","DOWN","si:ch211-157c3.4"
"ENSDARG00000060246","ENSDARG00000060246",958.091325329611,-0.928625388128291,0.217809600274382,-4.26347317546367,2.01273672909276e-05,0.00258759065840865,"slc16a6b","DOWN","slc16a6b"
"ENSDARG00000099383","ENSDARG00000099383",231.810898148441,0.514876517133578,0.12925112554675,3.98353604237936,6.78973684069063e-05,0.00673909382556371,"dnajb1a","UP","dnajb1a"
"ENSDARG00000074345","ENSDARG00000074345",35.8321226704076,-1.3948377396005,0.422302463376472,-3.30293536165579,0.00095678439522785,0.0484673714164748,"si:ch211-214b16.4","DOWN","si:ch211-214b16.4"
"ENSDARG00000045842","ENSDARG00000045842",1059.46710026007,-0.840107930683948,0.155157357660267,-5.41455425222856,6.14415727055501e-08,1.94841467311417e-05,"zgc:113263","DOWN","zgc:113263"
"ENSDARG00000045527","ENSDARG00000045527",33.2186733609449,1.53088775335628,0.308349261202441,4.96478489160769,6.87772574919586e-07,0.000150416652678103,"nr2c1","UP","nr2c1"
"ENSDARG00000029071","ENSDARG00000029071",138.594498454911,0.616512845161067,0.153809374609063,4.00829173597551,6.11595399847372e-05,0.00618980088983827,"creld2","UP","creld2"
"ENSDARG00000089179","ENSDARG00000089179",49.1018718361755,-0.814602199540619,0.238365568194778,-3.41744911276354,0.000632109097372827,0.0365566559140206,"si:dkey-16p6.1","DOWN","si:dkey-16p6.1"
"ENSDARG00000100311","ENSDARG00000100311",82.8978451463387,0.618611061643416,0.183025887465424,3.37991018762457,0.000725095198155488,0.0398739489459667,"si:dkey-165e24.1","UP","si:dkey-165e24.1"
"ENSDARG00000096762","ENSDARG00000096762",33.1164634252883,1.37254314715936,0.370817540127217,3.70139758407457,0.000214415199656367,0.0161252095014296,"si:dkey-61p9.11","UP","si:dkey-61p9.11"
