"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",9444.34710002761,-0.184569877389746,0.147294511106462,-1.25306690658922,0.210181358453838,0.600510828384582
"ENSDARG00000102407",171.516364930973,-0.222705638013556,0.182593942573109,-1.2196770324097,0.222587331611236,0.61440202234079
"ENSDARG00000102097",120.189515441863,-0.570411866250747,0.318348056966798,-1.79178686273633,0.0731671140099353,0.392410780035486
"ENSDARG00000099640",230.238410749702,-0.15970853784911,0.203972090976836,-0.782992109774699,0.433631745452158,0.77949588026541
"ENSDARG00000104071",202.400255323372,-0.115221119041437,0.192800100004012,-0.59761960205954,0.550093781745979,0.838693450307639
"ENSDARG00000102746",439.362532840624,-0.201933144984272,0.125400640607524,-1.6103039347006,0.107331520686564,0.459466525823406
"ENSDARG00000103929",462.443240676759,0.00246259172291408,0.155745263878633,0.015811663620366,0.987384643377057,0.996671130435721
"ENSDARG00000101073",36.4281511190498,-0.518230515321763,0.296422952546162,-1.74828066069229,0.0804154403322071,0.406837358730676
"ENSDARG00000100223",1338.33094993555,-0.0422489198459575,0.105809707633209,-0.399291528074287,0.689678408792337,0.902686055010104
"ENSDARG00000100782",80.9157146752167,-0.359754668288523,0.230869934459329,-1.55825689963064,0.119172361591904,0.477358854221376
"ENSDARG00000034862",137.668551843673,-0.280069300885656,0.204238357999819,-1.37128648912221,0.170285665784568,0.554951910340895
"ENSDARG00000075827",107.000891174869,0.0695349236999594,0.234510201551514,0.296511295627729,0.766839641952399,0.930881708184659
"ENSDARG00000088581",1244.69100124201,-0.0421476554934662,0.128177270923495,-0.328823161780554,0.742289355154022,0.921612436445743
"ENSDARG00000076900",53.7900938795746,-0.526976076089363,0.289956335928666,-1.81743252618217,0.0691509111220194,0.383632109746899
"ENSDARG00000013802",261.384436912101,-0.190196540640317,0.126329756791005,-1.5055561371417,0.13218115566284,0.498080812196299
"ENSDARG00000096578",546.480362709271,-0.0740861061700316,0.106284140379309,-0.697057020037343,0.485767110358539,0.807186240590993
"ENSDARG00000109848",1.29959641779997,0.682816524343286,1.45157832676275,0.470395921290776,0.638072177665444,NA
"ENSDARG00000100181",160.995317014535,0.132149879839867,0.154075524657508,0.857695471968182,0.39106064100248,0.751783582982727
