"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",11820.9838581474,-0.146735371126115,0.145825531069826,-1.00623923705001,0.314300501838472,0.846937108628693
"ENSDARG00000102407",240.805922220888,-0.430212979802301,0.172299564576914,-2.49688953572635,0.0125287978459422,0.415902263913145
"ENSDARG00000102097",178.310203714744,-0.293898685910839,0.28761084778039,-1.02186231214495,0.306846072167,0.846937108628693
"ENSDARG00000099640",313.210154647244,-0.404390438446344,0.196952408956861,-2.05323936167198,0.0400493686466992,0.603086829247207
"ENSDARG00000104071",252.345529281862,-0.189860300348548,0.175749931319088,-1.08028662613724,0.280014563308024,0.833935163322198
"ENSDARG00000102746",567.263124597543,-0.22188472937057,0.117857907050131,-1.88264610261738,0.0597483441263462,0.660984688498707
"ENSDARG00000103929",508.581467647122,0.0231924703968387,0.147561694738842,0.157171347468496,0.875109809028677,0.979548566896943
"ENSDARG00000101073",44.3626567381688,0.313834268563216,0.275448642608411,1.13935674393348,0.254554389890743,0.824532922049312
"ENSDARG00000100223",1492.73702940129,0.0174629370613175,0.0959975866306007,0.181910167476554,0.855653225139344,0.976090940747126
"ENSDARG00000100782",98.5026758340768,0.0527886636851619,0.216335080242292,0.244013424110594,0.807220423187537,0.969431114277113
"ENSDARG00000034862",176.588272825158,-0.151168548402265,0.13246981934166,-1.14115463547496,0.253805578557477,0.823662386481105
"ENSDARG00000075827",134.482425755916,-0.405061098312842,0.224587426719631,-1.80357869640899,0.071297378244595,0.678533953193482
"ENSDARG00000088581",1360.01533937064,0.0739013380258604,0.127186485593887,0.581047095379545,0.561208713178679,0.91467038545194
"ENSDARG00000076900",66.1054682203464,0.191712266742813,0.272039556148383,0.704722024462664,0.480983242329405,0.891591696569971
"ENSDARG00000013802",283.333027588529,0.258199296755563,0.114587435721253,2.25329500682485,0.0242405543842508,0.50390941423061
"ENSDARG00000096578",616.495041715293,0.0247375288716077,0.110197845499577,0.224482872232767,0.822381592840066,0.971134277835679
"ENSDARG00000109848",2.02386618144197,-1.18230324058046,1.1836004332111,-0.998904028256291,0.31784118466073,NA
"ENSDARG00000100181",166.633494831134,0.0880739924788732,0.128928715376318,0.68312161663755,0.494529997077347,0.895626970545117
"ENSDARG00000029936",183.5011182305,0.0459635093072926,0.204482848254209,0.224779289313066,0.82215097854417,0.971134277835679
"ENSDARG00000041589",41.027283443105,-0.331239131194431,0.298611150828979,-1.10926578017891,0.267315542723351,0.82900452965109
"ENSDARG00000041592",425.626086941182,0.0978404581578876,0.0969718678930777,1.00895713657664,0.312995191332427,0.846937108628693
"ENSDARG00000075108",104.328871981507,-0.386609884883246,0.200070938223583,-1.93236403205748,0.0533145901995897,0.64012173686367
"ENSDARG00000016304",276.943679528038,-0.0707408836417422,0.140453467736202,-0.503660641363492,0.614499870856292,0.925948596511793
"ENSDARG00000058803",498.251414033065,0.0879148945166406,0.126882491045358,0.692884367199356,0.488382120944049,0.89374907925453
"ENSDARG00000063385",1392.11677080764,-0.130865622333889,0.124187928688379,-1.05377087544689,0.291987830732914,0.838469941536817
"ENSDARG00000007804",452.498045207224,-0.245376932757654,0.143014217361015,-1.71575202301909,0.0862074386637393,0.706538648822813
"ENSDARG00000068261",298.509442966963,-0.0364322254644998,0.171198972483194,-0.212806332515087,0.831478024246136,0.972692198767608
"ENSDARG00000063371",572.337003928807,0.170651223225385,0.118881351716535,1.43547512508347,0.151151751751074,0.76696849596907
"ENSDARG00000078751",1000.83394625621,-0.0990784228178764,0.09752181805648,-1.01596160523274,0.309647670457412,0.846937108628693
"ENSDARG00000078878",8.00439900184415,1.01284030442446,0.634960525445442,1.59512326173966,0.110684674614877,NA
"ENSDARG00000016343",162.142206499359,-0.0199355944223183,0.163183674713862,-0.122166598204599,0.902767079041578,0.983729469766645
"ENSDARG00000023678",197.310497581938,-0.135481084681141,0.149988036813251,-0.903279271865044,0.366377694777995,0.862780897384997
"ENSDARG00000011299",620.515798684564,-0.116079718873777,0.0948535925042607,-1.22377778014642,0.221036068674924,0.808558480891062
"ENSDARG00000041575",180.836295462371,0.0989590741462938,0.164452941231277,0.601747061532477,0.547342518353712,0.910553570466246
"ENSDARG00000058962",78.1875037432287,-0.14210891147918,0.213284057755649,-0.666289421603131,0.505226125764862,0.899665045883465
"ENSDARG00000089799",2.04397352829958,0.231759100408738,0.988751287149548,0.234395750904023,0.814677757066068,NA
"ENSDARG00000075325",797.137201329296,-0.145915957013443,0.123106055020986,-1.18528659689866,0.235904151002573,0.814477990524194
"ENSDARG00000041570",471.712075028301,-0.0819617213631356,0.131959329455734,-0.621113502934477,0.534524945472485,0.908154665155928
"ENSDARG00000113329",51.6939658091822,0.223425426468741,0.21991830438743,1.01594738596717,0.309654441971133,0.846937108628693
"ENSDARG00000058996",60.7084630676948,0.0659870668125883,0.227436405914874,0.290134143419793,0.771713615973379,0.961189190714927
"ENSDARG00000014313",1507.0108025079,-0.338345958299275,0.216910445075327,-1.55984170417325,0.118797293421972,0.742654317972893
"ENSDARG00000104279",2629.45597948262,0.151163778487732,0.147820774301113,1.02261525284537,0.30648979497475,0.846937108628693
"ENSDARG00000103783",1033.69495806661,-0.115366996528914,0.0759976541406785,-1.51803365292512,0.129005915182067,0.754397332856098
"ENSDARG00000103519",282.554512510639,-0.00503000573655966,0.157460211268364,-0.031944614426986,0.97451621961119,0.995449022455328
"ENSDARG00000100307",170.349173263661,0.360350979211505,0.246191376094054,1.46370268905698,0.14327520045841,0.763100078631022
"ENSDARG00000101089",707.206012624917,0.0177603800385992,0.119763048739679,0.148295991338729,0.882109178830764,0.9798608989691
"ENSDARG00000115421",226.195765432995,-0.00505576575410554,0.175934389922908,-0.028736654364851,0.977074622474759,0.996227317129662
"ENSDARG00000087646",53.0554887856764,0.471017365836551,0.248230525208313,1.89749977542559,0.0577620083973902,0.654853457917108
"ENSDARG00000067781",26.609307270509,-0.209209201802744,0.370213435945326,-0.565104292523951,0.572002829009756,0.918169314715068
"ENSDARG00000099108",71.0637245248822,-0.242679839294158,0.267056598660555,-0.908720625183346,0.36349761419306,0.862780897384997
"ENSDARG00000001870",6067.07585770982,0.188074564303203,0.10440484426707,1.80139691432423,0.0716403421608045,0.680298432398122
"ENSDARG00000002791",613.373351858615,0.80870177429783,0.225663133405829,3.58366810782279,0.000338802537878994,0.0543927146412452
"ENSDARG00000007739",2307.31789810545,0.171645759169898,0.124998878037051,1.37317839860146,0.1696968933538,0.781790003632703
"ENSDARG00000039131",1339.21302822295,0.111935192596621,0.0745349691140293,1.50178089462107,0.133153704018093,0.757174227730178
"ENSDARG00000040252",247.127546883902,-0.109850766787385,0.125845840043308,-0.872899467710506,0.382717876448874,0.866727290497781
"ENSDARG00000089477",132.920365711298,0.204501034470512,0.169701349174419,1.20506428184213,0.228178487236063,0.809741093165925
"ENSDARG00000095102",5.28570668238004,0.517661455260984,0.890292619685272,0.581450911548591,0.560936593167072,NA
"ENSDARG00000075505",67.9099658157631,0.495776046415996,0.22919932249432,2.16307814971086,0.0305351693683952,0.552240043213137
"ENSDARG00000018460",1085.47603281813,0.154643963723078,0.121808042687,1.26957104236913,0.204237469774582,0.801843149837433
"ENSDARG00000040246",24.9632887028804,-0.118482739923203,0.365857712589942,-0.323849233857753,0.746052179848109,0.956469918778229
"ENSDARG00000040245",3557.44714097062,0.0441513905533876,0.108432069018323,0.407180190815384,0.683875649586861,0.943953972667515
"ENSDARG00000074381",947.373244644434,0.0499261026841659,0.10074414304139,0.495573252964734,0.620195527636093,0.927620627315117
"ENSDARG00000095179",14.7628890638685,-0.365019234395794,0.409157693080087,-0.892123600678202,0.372326686231498,0.862780897384997
"ENSDARG00000070581",14.7831891329264,-0.640320894993738,0.440184046397281,-1.45466629296198,0.145761668466355,0.764016410546943
"ENSDARG00000103156",52.2293197769497,0.339002149355664,0.248850403847011,1.36227285194231,0.17311179194168,0.785029130443265
"ENSDARG00000103647",86.9428443368503,0.196682668234161,0.174468203796392,1.12732672174292,0.259604368439679,0.824532922049312
"ENSDARG00000098769",484.098275187879,0.0911085020639765,0.0863321159983285,1.05532571523835,0.291276384108484,0.837920653137765
"ENSDARG00000078308",1073.59778429566,-0.147077255695763,0.109398021697226,-1.34442335806419,0.178811524721697,0.790866396242948
