"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006897","BP","GO:0006897","endocytosis","17/330","270/18057",1.04281367885698e-05,0.000616511446940247,0.000541824033561901,"100534954/565844/100538038/564367/407978/553266/492695/567877/100004793/794222/571626/110351181/558990/560887/559293/568184/100147967",17
"GO:0120035","BP","GO:0120035","regulation of plasma membrane bounded cell projection organization","15/330","222/18057",1.50995095714329e-05,0.000858349044099145,0.000754364162394662,"30155/572261/562398/562946/561285/795761/100333657/567298/570240/100331504/566546/567422/100004611/567064/65090",15
"GO:0031344","BP","GO:0031344","regulation of cell projection organization","15/330","224/18057",1.67902761068787e-05,0.000919112151332102,0.000807766109781222,"30155/572261/562398/562946/561285/795761/100333657/567298/570240/100331504/566546/567422/100004611/567064/65090",15
"GO:0019228","BP","GO:0019228","neuronal action potential","5/330","19/18057",1.86291271958962e-05,0.000949443103294298,0.000834422611968637,"563904/103909035/559447/793996/393101",5
"GO:0051899","BP","GO:0051899","membrane depolarization","5/330","19/18057",1.86291271958962e-05,0.000949443103294298,0.000834422611968637,"563904/557843/559447/793996/393101",5
"GO:0051960","BP","GO:0051960","regulation of nervous system development","13/330","178/18057",2.47828034417451e-05,0.00122096611622998,0.00107305191042503,"798465/572261/100332110/369191/562398/561285/795761/100333657/566367/566546/567422/100004611/567064",13
"GO:0050767","BP","GO:0050767","regulation of neurogenesis","12/330","155/18057",2.85629977490293e-05,0.00136181002171178,0.00119683325033284,"798465/572261/100332110/369191/562398/561285/795761/100333657/566546/567422/100004611/567064",12
"GO:0019226","BP","GO:0019226","transmission of nerve impulse","6/330","35/18057",3.69485641776681e-05,0.00170656180795604,0.00149982000642245,"563904/103909035/794222/559447/793996/393101",6
"GO:0050770","BP","GO:0050770","regulation of axonogenesis","9/330","90/18057",3.92719254197079e-05,0.00175890623546449,0.00154582315687144,"572261/562398/561285/795761/100333657/566546/567422/100004611/567064",9
"GO:0007274","BP","GO:0007274","neuromuscular synaptic transmission","4/330","12/18057",4.82883217674648e-05,0.00209912175212685,0.00184482319074463,"569528/572002/110351181/563166",4
"GO:0048015","BP","GO:0048015","phosphatidylinositol-mediated signaling","7/330","55/18057",6.10650944896263e-05,0.00257869170444765,0.00226629553684809,"556956/100000797/245701/245700/791141/570240/65090",7
"GO:0086010","BP","GO:0086010","membrane depolarization during action potential","4/330","13/18057",6.8746778569124e-05,0.0027898698403538,0.00245189045153236,"563904/559447/793996/393101",4
"GO:0007254","BP","GO:0007254","JNK cascade","6/330","39/18057",6.98411259087217e-05,0.0027898698403538,0.00245189045153236,"100535386/561262/245701/100007304/404626/568412",6
"GO:0048017","BP","GO:0048017","inositol lipid-mediated signaling","7/330","59/18057",9.64461335334368e-05,0.00375124698322157,0.00329680135125377,"556956/100000797/245701/245700/791141/570240/65090",7
"GO:0050808","BP","GO:0050808","synapse organization","11/330","150/18057",0.000100142626333764,0.0037951487620847,0.0033353846395645,"100073332/100005543/403310/572002/101175706/140820/557847/567298/110351181/562422/100147967",11
"GO:0031346","BP","GO:0031346","positive regulation of cell projection organization","8/330","80/18057",0.000105637595658913,0.0038658830996545,0.00339754985041924,"30155/561285/795761/100333657/570240/566546/567422/65090",8
"GO:0014065","BP","GO:0014065","phosphatidylinositol 3-kinase signaling","6/330","42/18057",0.000107240329557398,0.0038658830996545,0.00339754985041924,"100000797/245701/245700/791141/570240/65090",6
"GO:0007214","BP","GO:0007214","gamma-aminobutyric acid signaling pathway","4/330","16/18057",0.000167559148236363,0.0058964862165082,0.00518215511086896,"558708/560267/553402/100538116",4
"GO:0051259","BP","GO:0051259","protein complex oligomerization","9/330","110/18057",0.000187724871361443,0.00645249674121423,0.00567080761958433,"768182/553402/562853/407670/571208/565807/555284/559036/799412",9
"GO:0043087","BP","GO:0043087","regulation of GTPase activity","13/330","220/18057",0.000214347724450914,0.00720013492587389,0.00632787301369445,"566318/100535556/564518/561005/100034485/100331732/561285/795761/324332/100333657/566546/567422/799483",13
"GO:0031098","BP","GO:0031098","stress-activated protein kinase signaling cascade","6/330","49/18057",0.000256796579837343,0.00825098576086071,0.00725141829563572,"100535386/561262/245701/100007304/404626/568412",6
"GO:0051403","BP","GO:0051403","stress-activated MAPK cascade","6/330","49/18057",0.000256796579837343,0.00825098576086071,0.00725141829563572,"100535386/561262/245701/100007304/404626/568412",6
"GO:0050772","BP","GO:0050772","positive regulation of axonogenesis","5/330","33/18057",0.00030825087500387,0.00969350623948341,0.00851918431701626,"561285/795761/100333657/566546/567422",5
"GO:0022603","BP","GO:0022603","regulation of anatomical structure morphogenesis","16/330","332/18057",0.000427252955128715,0.0131558305766717,0.0115620646190534,"100332334/553051/572261/100004929/562398/569727/561285/795761/100333657/567298/566546/567422/100004611/567064/100006456/568877",16
"GO:0045926","BP","GO:0045926","negative regulation of growth","6/330","55/18057",0.000485694277941012,0.0143571228559363,0.0126178260837728,"572261/562398/560785/100331504/100004611/567064",6
"GO:0050768","BP","GO:0050768","negative regulation of neurogenesis","6/330","55/18057",0.000485694277941012,0.0143571228559363,0.0126178260837728,"798465/572261/100332110/562398/100004611/567064",6
"GO:0051961","BP","GO:0051961","negative regulation of nervous system development","6/330","56/18057",0.000535732682818606,0.0155257432393314,0.0136448736965564,"798465/572261/100332110/562398/100004611/567064",6
"GO:0060284","BP","GO:0060284","regulation of cell development","13/330","249/18057",0.000698785780152967,0.0198616419820401,0.0174554990426875,"798465/572261/100332110/369191/562398/561285/795761/100333657/114834/566546/567422/100004611/567064",13
