"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed","delabel"
"ENSDARG00000014313","ENSDARG00000014313",1371.99743449994,-0.501869477903495,0.142842946349598,-3.51343549491906,0.000442351805140872,0.0116544509586912,"atp5pf","DOWN","atp5pf"
"ENSDARG00000002791","ENSDARG00000002791",584.069254120988,0.871873709555246,0.0916345848812651,9.51467953595218,1.82273822744469e-21,3.73424380656594e-18,"atp1a1a.1","UP","atp1a1a.1"
"ENSDARG00000030350","ENSDARG00000030350",67.8202638796508,0.657965038970594,0.201079634227829,3.27216150704303,0.00106728588411422,0.0220863494018666,"mnx2b","UP","mnx2b"
"ENSDARG00000017441","ENSDARG00000017441",3580.31118906882,1.26308503647502,0.127957454644201,9.87113286980548,5.55338230901931e-23,1.26413492627643e-19,"mylz3","UP","mylz3"
"ENSDARG00000037746","ENSDARG00000037746",20676.1189632671,0.716097653152822,0.159162487772929,4.49916097173884,6.82221856532596e-06,0.000397064749283616,"actb1","UP","actb1"
"ENSDARG00000070543","ENSDARG00000070543",255.506138144841,-0.702748625294421,0.145565620855973,-4.82771014997931,1.38111912999416e-06,0.000105185827569481,"grin2ab","DOWN","grin2ab"
"ENSDARG00000058463","ENSDARG00000058463",319.519539518573,-1.16215836881917,0.359147587522305,-3.23587964724111,0.00121268502981604,0.0239750525497784,"ndufab1a","DOWN","ndufab1a"
"ENSDARG00000058445","ENSDARG00000058445",39.3924894577372,-1.0171792681977,0.326959867182083,-3.11102178063719,0.00186441187025569,0.0330917896832153,"zgc:136472","DOWN","zgc:136472"
"ENSDARG00000091916","ENSDARG00000091916",160.734543913736,-0.569249518310957,0.186748196302068,-3.04821963254835,0.00230201610577776,0.0383738030586403,"ugt5b4","DOWN","ugt5b4"
"ENSDARG00000070239","ENSDARG00000070239",315.057300414468,0.585059013002634,0.110254963724387,5.30641880636916,1.11799925461148e-07,1.29403676436302e-05,"knl1","UP","knl1"
"ENSDARG00000027355","ENSDARG00000027355",534.827921313684,-10.8565850451584,2.55850631263571,-4.24332939556997,2.20227810814687e-05,0.00107680361817673,"slc25a4","DOWN","slc25a4"
"ENSDARG00000015495","ENSDARG00000015495",284.879311015087,-0.632409294098253,0.156419775836835,-4.04302646973444,5.2765661143614e-05,0.00218827955435065,"klf3","DOWN","klf3"
"ENSDARG00000037455","ENSDARG00000037455",204.455611604416,0.587716018045431,0.182956385702491,3.21232853277462,0.00131663716790346,0.0252496030973539,"ugt8","UP","ugt8"
