"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051052","BP","GO:0051052","regulation of DNA metabolic process","4/24","114/18057",1.45237013282998e-05,0.00240538983150338,0.00172352955609106,"572849/503753/550353/322508",4
"GO:0000018","BP","GO:0000018","regulation of DNA recombination","3/24","38/18057",1.6879928642129e-05,0.00240538983150338,0.00172352955609106,"572849/550353/322508",3
"GO:0015718","BP","GO:0015718","monocarboxylic acid transport","3/24","84/18057",0.000183160953338554,0.0174002905671626,0.0124677982272559,"445158/795588/561766",3
"GO:0045910","BP","GO:0045910","negative regulation of DNA recombination","2/24","28/18057",0.000626605714073738,0.0438301831948898,0.0314055606271786,"550353/322508",2
"GO:0030261","BP","GO:0030261","chromosome condensation","2/24","31/18057",0.000768950582366487,0.0438301831948898,0.0314055606271786,"550353/322508",2
"GO:0006310","BP","GO:0006310","DNA recombination","3/24","167/18057",0.0013632279177559,0.0496554148483151,0.0355795031600115,"572849/550353/322508",3
"GO:0006334","BP","GO:0006334","nucleosome assembly","2/24","42/18057",0.00141115381116626,0.0496554148483151,0.0355795031600115,"550353/322508",2
"GO:0046942","BP","GO:0046942","carboxylic acid transport","3/24","177/18057",0.00161065887269389,0.0496554148483151,0.0355795031600115,"445158/795588/561766",3
"GO:0015849","BP","GO:0015849","organic acid transport","3/24","179/18057",0.00166329732519411,0.0496554148483151,0.0355795031600115,"445158/795588/561766",3
"GO:0034728","BP","GO:0034728","nucleosome organization","2/24","48/18057",0.00183978962054555,0.0496554148483151,0.0355795031600115,"550353/322508",2
"GO:0051053","BP","GO:0051053","negative regulation of DNA metabolic process","2/24","49/18057",0.00191652478361918,0.0496554148483151,0.0355795031600115,"550353/322508",2
"GO:0044815","CC","GO:0044815","DNA packaging complex","3/24","97/18405",0.000265038045857335,0.00585691430859596,0.00387525157260485,"503753/550353/322508",3
"GO:0032993","CC","GO:0032993","protein-DNA complex","3/24","105/18405",0.000334680817634055,0.00585691430859596,0.00387525157260485,"503753/550353/322508",3
"GO:0000786","CC","GO:0000786","nucleosome","2/24","69/18405",0.00362464449678889,0.0422875191292037,0.027979711905037,"550353/322508",2
"GO:0008028","MF","GO:0008028","monocarboxylic acid transmembrane transporter activity","3/24","39/17701",1.93831448829609e-05,0.000988540389031008,0.000714115864109087,"445158/795588/561766",3
"GO:0031492","MF","GO:0031492","nucleosomal DNA binding","2/24","24/17701",0.000477486832731033,0.0120040012905704,0.00867162115933877,"550353/322508",2
"GO:0046943","MF","GO:0046943","carboxylic acid transmembrane transporter activity","3/24","141/17701",0.000885825933685441,0.0120040012905704,0.00867162115933877,"445158/795588/561766",3
"GO:0005342","MF","GO:0005342","organic acid transmembrane transporter activity","3/24","144/17701",0.000941490297299638,0.0120040012905704,0.00867162115933877,"445158/795588/561766",3
"GO:0031491","MF","GO:0031491","nucleosome binding","2/24","43/17701",0.00153784472466433,0.0156860161915762,0.0113314874448951,"550353/322508",2
"GO:0008514","MF","GO:0008514","organic anion transmembrane transporter activity","3/24","196/17701",0.00227965079705831,0.0193770317749956,0.0139978557714107,"445158/795588/561766",3
"GO:0031490","MF","GO:0031490","chromatin DNA binding","2/24","60/17701",0.00297232313621989,0.0216554971353163,0.0156438059801047,"550353/322508",2
"GO:0003682","MF","GO:0003682","chromatin binding","3/24","255/17701",0.00478124623239168,0.030480444731497,0.0220188971228564,"572849/550353/322508",3
