"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0017171","MF","GO:0017171","serine hydrolase activity","16/621","193/17701",0.00130452453800104,0.0141468438787668,0.0118398952220913,"558106/555481/30735/447843/65223/322453/100535672/436794/445282/574008/100301982/768292/100101646/554107/550419/403061",16
"GO:0004252","MF","GO:0004252","serine-type endopeptidase activity","15/621","177/17701",0.0014667564877254,0.0155603731741303,0.0130229180145871,"558106/555481/447843/65223/322453/100535672/436794/445282/574008/100301982/768292/100101646/554107/550419/403061",15
"GO:0046933","MF","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","4/621","15/17701",0.00150353978291681,0.0156112215758171,0.0130654744853689,"335709/402883/326977/798291",4
"GO:0003954","MF","GO:0003954","NADH dehydrogenase activity","5/621","26/17701",0.00186470251318424,0.0186543708846887,0.0156123725264435,"393821/796997/406306/556538/445042",5
"GO:0004806","MF","GO:0004806","triglyceride lipase activity","4/621","16/17701",0.00194953466212935,0.0186543708846887,0.0156123725264435,"565117/322481/436610/569398",4
"GO:0019203","MF","GO:0019203","carbohydrate phosphatase activity","4/621","16/17701",0.00194953466212935,0.0186543708846887,0.0156123725264435,"327453/554477/445505/386663",4
"GO:0050308","MF","GO:0050308","sugar-phosphatase activity","4/621","16/17701",0.00194953466212935,0.0186543708846887,0.0156123725264435,"327453/554477/445505/386663",4
"GO:0015252","MF","GO:0015252","proton channel activity","4/621","18/17701",0.00310014343874305,0.0290936538097425,0.0243493047415446,"335709/402883/326977/798291",4
"GO:0016811","MF","GO:0016811","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","7/621","56/17701",0.00329990898179922,0.0303840676060004,0.0254292886780158,"436973/493602/566517/556445/553216/402904/322660",7
"GO:0008519","MF","GO:0008519","ammonium transmembrane transporter activity","3/621","10/17701",0.00428736120479945,0.0387450419989284,0.0324268254865924,"792274/563826/100038797",3
"GO:0016641","MF","GO:0016641","oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor","4/621","20/17701",0.00464319758409735,0.0411978258370819,0.0344796299067899,"404621/100124531/555401/541429",4
