"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009117","BP","GO:0009117","nucleotide metabolic process","35/831","336/18057",5.87377126237585e-06,0.000380240310249684,0.000361882501923466,"406599/393744/406404/335716/558601/431724/192309/30084/492519/557834/559659/393629/335709/570244/664696/572052/100000855/447919/402883/393675/557184/402867/556673/326977/445486/81541/567734/393668/798291/393713/553804/494065/81540/570370/335191",35
"GO:0009165","BP","GO:0009165","nucleotide biosynthetic process","24/831","192/18057",8.56824620514165e-06,0.000538820282786193,0.000512806314232538,"406599/406404/335716/431724/30084/492519/559659/393629/335709/570244/572052/100000855/447919/402883/393675/326977/445486/81541/567734/798291/494065/81540/570370/335191",24
"GO:0019693","BP","GO:0019693","ribose phosphate metabolic process","29/831","262/18057",1.15912933259703e-05,0.000708678794735016,0.000674464143821077,"406599/406404/335716/558601/431724/192309/30084/492519/559659/335709/570244/664696/572052/100000855/402883/393675/415176/557184/402867/556673/326977/445486/81541/393668/798291/553804/494065/570370/335191",29
"GO:0009150","BP","GO:0009150","purine ribonucleotide metabolic process","27/831","237/18057",1.36589568118759e-05,0.000812523349809159,0.000773295136717868,"406599/406404/335716/558601/431724/192309/30084/492519/559659/335709/570244/664696/572052/100000855/402883/393675/557184/402867/556673/326977/445486/81541/393668/798291/553804/570370/335191",27
"GO:1901293","BP","GO:1901293","nucleoside phosphate biosynthetic process","24/831","198/18057",1.44785051455553e-05,0.000838610258562298,0.000798122582815932,"406599/406404/335716/431724/30084/492519/559659/393629/335709/570244/572052/100000855/447919/402883/393675/326977/445486/81541/567734/798291/494065/81540/570370/335191",24
"GO:0009152","BP","GO:0009152","purine ribonucleotide biosynthetic process","19/831","136/18057",1.51151354894742e-05,0.000853036236213657,0.000811852081620879,"406599/406404/335716/431724/30084/492519/559659/335709/570244/572052/100000855/402883/393675/326977/445486/81541/798291/570370/335191",19
"GO:0009259","BP","GO:0009259","ribonucleotide metabolic process","28/831","256/18057",2.03530965730446e-05,0.00111969407937823,0.00106563582006393,"406599/406404/335716/558601/431724/192309/30084/492519/559659/335709/570244/664696/572052/100000855/402883/393675/557184/402867/556673/326977/445486/81541/393668/798291/553804/494065/570370/335191",28
"GO:0072521","BP","GO:0072521","purine-containing compound metabolic process","32/831","313/18057",2.12829874824129e-05,0.00111969407937823,0.00106563582006393,"406599/406404/436604/335716/558601/431724/192309/30084/492519/449556/559659/393629/335709/570244/664696/572052/100000855/447919/402883/393675/557184/402867/556673/326977/445486/81541/393668/798291/393713/553804/570370/335191",32
"GO:0006164","BP","GO:0006164","purine nucleotide biosynthetic process","21/831","164/18057",2.13662659399752e-05,0.00111969407937823,0.00106563582006393,"406599/406404/335716/431724/30084/492519/559659/393629/335709/570244/572052/100000855/447919/402883/393675/326977/445486/81541/798291/570370/335191",21
"GO:0009260","BP","GO:0009260","ribonucleotide biosynthetic process","20/831","153/18057",2.46284056688655e-05,0.00126063071807379,0.00119976810969504,"406599/406404/335716/431724/30084/492519/559659/335709/570244/572052/100000855/402883/393675/326977/445486/81541/798291/494065/570370/335191",20
"GO:0006163","BP","GO:0006163","purine nucleotide metabolic process","30/831","288/18057",2.68038338899707e-05,0.00134080087254149,0.00127606768997708,"406599/406404/335716/558601/431724/192309/30084/492519/559659/393629/335709/570244/664696/572052/100000855/447919/402883/393675/557184/402867/556673/326977/445486/81541/393668/798291/393713/553804/570370/335191",30
"GO:0046390","BP","GO:0046390","ribose phosphate biosynthetic process","20/831","157/18057",3.5929930555214e-05,0.00175737282560058,0.00167252776151756,"406599/406404/335716/431724/30084/492519/559659/335709/570244/572052/100000855/402883/393675/326977/445486/81541/798291/494065/570370/335191",20
"GO:0072522","BP","GO:0072522","purine-containing compound biosynthetic process","21/831","172/18057",4.38261351810652e-05,0.00209698529420706,0.00199574391327963,"406599/406404/335716/431724/30084/492519/559659/393629/335709/570244/572052/100000855/447919/402883/393675/326977/445486/81541/798291/570370/335191",21
"GO:0002088","BP","GO:0002088","lens development in camera-type eye","16/831","111/18057",4.75337745582045e-05,0.00222599654899166,0.00211852657045525,"554132/566891/100038765/795575/436681/100126132/436855/415232/561929/798701/415228/100000175/558470/799807/566558/790908",16
"GO:0090407","BP","GO:0090407","organophosphate biosynthetic process","33/831","369/18057",0.000216438142333564,0.00992459065158694,0.00944543647464455,"406599/406404/335716/431724/192309/30084/492519/559659/393629/570443/335709/570244/445202/556797/555881/572052/100000855/447919/402883/393675/335409/326977/796295/799492/445486/81541/567734/798291/494065/81540/570370/791775/335191",33
"GO:0009410","BP","GO:0009410","response to xenobiotic stimulus","13/831","90/18057",0.000233605605930504,0.0104931824214906,0.00998657692377452,"664699/553969/30553/140634/100537750/259306/569245/100034366/393592/322412/393484/449790/368270",13
"GO:0006120","BP","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","6/831","21/18057",0.000279227719002725,0.0122916041904999,0.0116981718066405,"393781/393700/393829/541390/447913/445042",6
"GO:0001523","BP","GO:0001523","retinoid metabolic process","8/831","39/18057",0.000335762634822898,0.0142117992162538,0.0135256607954973,"393761/378722/100141334/449556/84041/415102/84039/322529",8
"GO:0042255","BP","GO:0042255","ribosome assembly","8/831","39/18057",0.000335762634822898,0.0142117992162538,0.0135256607954973,"393738/393723/553616/406307/436840/751640/677743/768189",8
"GO:0016101","BP","GO:0016101","diterpenoid metabolic process","8/831","40/18057",0.000402975574746562,0.0167348913210789,0.0159269392998145,"393761/378722/100141334/449556/84041/415102/84039/322529",8
"GO:0015908","BP","GO:0015908","fatty acid transport","9/831","53/18057",0.000635045787959809,0.0258839959129544,0.0246343297863552,"30708/568032/171481/795210/100141334/415166/108004542/436636/415102",9
"GO:0006721","BP","GO:0006721","terpenoid metabolic process","8/831","44/18057",0.000789454130380516,0.0315391779982277,0.0300164825636543,"393761/378722/100141334/449556/84041/415102/84039/322529",8
"GO:1901137","BP","GO:1901137","carbohydrate derivative biosynthetic process","38/831","479/18057",0.000802450689641412,0.0315391779982277,0.0300164825636543,"406599/641495/406404/335716/322468/553716/564925/554143/431724/192309/550546/30084/492519/559659/570443/335709/570244/445202/751830/556797/555881/572052/100000855/553212/402883/393675/100534615/326977/796295/445486/81541/567734/798291/494065/81540/100319240/570370/335191",38
"GO:0006766","BP","GO:0006766","vitamin metabolic process","8/831","45/18057",0.000921998937024324,0.0351411057160578,0.0334445110475884,"100141334/436726/415102/791775/565876/402886/402831/723999",8
"GO:0033013","BP","GO:0033013","tetrapyrrole metabolic process","7/831","35/18057",0.000926026411418152,0.0351411057160578,0.0334445110475884,"550507/799515/100037369/436726/751728/447871/402886",7
"GO:0051597","BP","GO:0051597","response to methylmercury","4/831","11/18057",0.00113338537085802,0.0422810373094661,0.0402397303837192,"30553/406304/100174951/406487",4
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex","73/900","199/18405",1.41250825467743e-44,5.26865578994682e-42,4.50515790702381e-42,"406599/393781/436951/794625/100000862/393821/393700/553711/796997/393497/450009/553709/405881/393829/751746/436691/394122/436829/415243/436768/100000992/541390/445122/553555/447945/326962/326975/751649/447913/447915/553660/554154/751639/445129/100333064/569841/559659/553580/554125/100034614/335709/777746/393776/751699/560369/406306/554101/393943/393777/795846/393703/406726/447942/402883/393675/565937/541328/558080/393764/556538/641319/326977/573689/566723/81541/797063/100001229/798291/100007768/562219/445042/570370/335191",73
"GO:0005743","CC","GO:0005743","mitochondrial inner membrane","84/900","281/18405",3.39284411724411e-43,6.32765427866026e-41,5.41069351328928e-41,"406599/393781/436951/794625/100000862/393821/393700/415253/796997/393497/100141351/393829/436985/556121/393187/751638/415243/436768/100000992/541390/767664/445122/327332/282678/554103/326962/326975/447913/553660/554154/436771/436840/445129/415159/100333064/559659/557348/563476/554125/335709/393776/751699/560369/406306/569770/567716/100190888/554101/393943/393777/393762/393703/406726/335493/447942/402883/393675/100334510/541328/100170826/393688/393764/556538/641319/793663/326977/573689/336118/555972/566723/81541/559504/797063/393731/798291/494577/494065/100330558/562219/100005717/445042/100332034/570370/335191",84
"GO:0031966","CC","GO:0031966","mitochondrial membrane","99/900","412/18405",1.52820315148632e-41,1.90006591834799e-39,1.6247212452644e-39,"406599/393781/436951/794625/100000862/393821/393700/415253/796997/393497/100141351/393829/799515/436985/556121/393187/751638/415243/436768/100000992/541390/767664/445122/327332/282678/554103/326962/326975/58122/751649/447913/553660/554154/436771/436840/100002535/492519/445129/415159/100333064/559659/557348/563476/554125/568423/335709/393776/751699/751728/560369/406306/447871/569770/567716/664696/100190888/554101/393943/393777/100000855/393762/393703/406726/335493/447942/402883/393675/100334510/541328/100170826/393688/393764/556538/406310/641319/793663/326977/573689/336118/555972/566723/81541/559504/797063/100001229/393731/798291/494577/767645/494065/100330558/562219/100005717/569275/445042/100332034/570370/335191/436984",99
"GO:0005740","CC","GO:0005740","mitochondrial envelope","101/900","441/18405",2.18072437290091e-40,1.80219665178408e-38,1.54103452939347e-38,"406599/393781/436951/794625/100000862/393821/393700/415253/796997/393497/100141351/100538337/393829/799515/436985/556121/393187/751638/415243/436768/100000992/541390/767664/445122/327332/282678/554103/326962/326975/58122/751649/447913/553660/554154/436771/436840/100002535/492519/445129/415159/100333064/559659/557348/563476/554125/568423/335709/393776/751699/751728/560369/406306/447871/569770/567716/664696/100190888/554101/393943/393777/100000855/393762/393703/406726/335493/447942/100536712/402883/393675/100334510/541328/100170826/393688/393764/556538/406310/641319/793663/326977/573689/336118/555972/566723/81541/559504/797063/100001229/393731/798291/494577/767645/494065/100330558/562219/100005717/569275/445042/100332034/570370/335191/436984",101
"GO:0019866","CC","GO:0019866","organelle inner membrane","85/900","311/18405",2.41581320614487e-40,1.80219665178408e-38,1.54103452939347e-38,"406599/393781/436951/794625/100000862/393821/393700/393952/415253/796997/393497/100141351/393829/436985/556121/393187/751638/415243/436768/100000992/541390/767664/445122/327332/282678/554103/326962/326975/447913/553660/554154/436771/436840/445129/415159/100333064/559659/557348/563476/554125/335709/393776/751699/560369/406306/569770/567716/100190888/554101/393943/393777/393762/393703/406726/335493/447942/402883/393675/100334510/541328/100170826/393688/393764/556538/641319/793663/326977/573689/336118/555972/566723/81541/559504/797063/393731/798291/494577/494065/100330558/562219/100005717/445042/100332034/570370/335191",85
"GO:0070469","CC","GO:0070469","respirasome","44/900","80/18405",1.04127882074581e-36,6.47328333563648e-35,5.53521899449091e-35,"393781/393821/393700/796997/393497/393829/415243/436768/100000992/541390/767664/445122/393478/554103/326962/326975/447913/553660/554154/445129/100333064/557348/563476/554125/393776/406306/436968/569770/554101/393943/393703/406726/447942/100150991/541328/100170826/393764/556538/573689/566723/797063/562219/445042/100332034",44
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex","50/900","118/18405",2.04806735080445e-34,1.09132731692866e-32,9.33179559840222e-33,"406599/393781/794625/100000862/393821/393700/796997/393497/393829/415243/436768/100000992/541390/445122/326962/326975/447913/553660/554154/445129/100333064/559659/554125/335709/393776/751699/560369/406306/554101/393943/393777/393703/406726/447942/402883/393675/541328/393764/556538/641319/326977/573689/566723/81541/797063/798291/562219/445042/570370/335191",50
"GO:0098803","CC","GO:0098803","respiratory chain complex","39/900","68/18405",1.22061468420874e-33,5.69111596512327e-32,4.86639801730591e-32,"393781/393821/393700/796997/393497/393829/415243/436768/100000992/541390/445122/393478/326962/326975/447913/553660/554154/445129/100333064/557348/554125/393776/406306/436968/569770/554101/393943/393703/406726/447942/100150991/541328/393764/556538/573689/566723/797063/562219/445042",39
"GO:0005746","CC","GO:0005746","mitochondrial respirasome","38/900","65/18405",3.0062520674463e-33,1.24592446795274e-31,1.0653735396915e-31,"393781/393821/393700/796997/393497/393829/415243/436768/100000992/541390/767664/445122/554103/326962/326975/447913/553660/554154/445129/100333064/563476/554125/393776/406306/554101/393943/393703/406726/447942/541328/100170826/393764/556538/573689/566723/797063/562219/445042",38
"GO:0005747","CC","GO:0005747","mitochondrial respiratory chain complex I","23/900","37/18405",1.73083812148908e-21,5.86911472104934e-20,5.0186024001071e-20,"393781/393821/393700/796997/393497/393829/415243/100000992/541390/445122/447913/553660/554125/406306/393943/393703/541328/393764/556538/573689/797063/562219/445042",23
"GO:0045271","CC","GO:0045271","respiratory chain complex I","23/900","37/18405",1.73083812148908e-21,5.86911472104934e-20,5.0186024001071e-20,"393781/393821/393700/796997/393497/393829/415243/100000992/541390/445122/447913/553660/554125/406306/393943/393703/541328/393764/556538/573689/797063/562219/445042",23
"GO:0030964","CC","GO:0030964","NADH dehydrogenase complex","23/900","38/18405",4.18440279942316e-21,1.30065187015403e-19,1.11217021774142e-19,"393781/393821/393700/796997/393497/393829/415243/100000992/541390/445122/447913/553660/554125/406306/393943/393703/541328/393764/556538/573689/797063/562219/445042",23
"GO:1990204","CC","GO:1990204","oxidoreductase complex","31/900","79/18405",1.31057907302052e-20,3.76035380182043e-19,3.21542881882768e-19,"393781/393821/393700/796997/393497/393829/415243/436768/100000992/541390/445122/541329/393551/447913/553660/554154/445129/100333064/554125/406306/393943/393703/541328/393764/556538/573689/566723/797063/436852/562219/445042",31
"GO:0005840","CC","GO:0005840","ribosome","42/900","184/18405",2.71095208211494e-17,7.22275090449196e-16,6.17607880361525e-16,"503593/553711/445040/557397/450009/572109/553709/436759/405881/751746/436691/394122/436829/768187/553555/393738/393723/447945/100536515/767758/192300/447915/406307/751639/405889/415159/192299/569841/553580/751640/100034614/777746/677743/402803/795846/565937/558080/432383/556625/100007768/394097/100000836",42
"GO:0000313","CC","GO:0000313","organellar ribosome","22/900","61/18405",4.08913119781155e-14,9.53278710489816e-13,8.15136021669012e-13,"503593/553711/450009/553709/405881/751746/436691/394122/436829/553555/447945/447915/751639/569841/553580/751640/100034614/777746/795846/565937/558080/100007768",22
"GO:0005761","CC","GO:0005761","mitochondrial ribosome","22/900","61/18405",4.08913119781155e-14,9.53278710489816e-13,8.15136021669012e-13,"503593/553711/450009/553709/405881/751746/436691/394122/436829/553555/447945/447915/751639/569841/553580/751640/100034614/777746/795846/565937/558080/100007768",22
"GO:0070069","CC","GO:0070069","cytochrome complex","15/900","26/18405",9.09307384366069e-14,1.99512737863849e-12,1.70600704311405e-12,"436768/393478/326962/326975/554154/100333064/557348/393776/436968/569770/554101/406726/447942/100150991/566723",15
"GO:0005759","CC","GO:0005759","mitochondrial matrix","33/900","153/18405",3.94126469765316e-13,8.16717629013682e-12,6.98364446426261e-12,"751732/100002948/406404/503593/553711/450009/553709/405881/751746/436691/394122/436829/553555/447945/447915/406283/751639/406294/569841/553580/751640/100034614/777746/795846/565937/550504/558080/767726/393731/569482/100007768/445131/58041",33
"GO:0044391","CC","GO:0044391","ribosomal subunit","31/900","142/18405",1.44866907703262e-12,2.84396613543772e-11,2.43183784122373e-11,"553711/445040/450009/553709/436759/405881/751746/436691/394122/436829/553555/393738/393723/447945/192300/447915/406307/751639/405889/192299/569841/553580/100034614/777746/677743/795846/565937/558080/100007768/394097/100000836",31
"GO:0045277","CC","GO:0045277","respiratory chain complex IV","11/900","19/18405",1.89741873565808e-10,3.53868594200232e-09,3.02588356265473e-09,"393478/326962/326975/557348/393776/436968/569770/554101/406726/447942/100150991",11
"GO:0015935","CC","GO:0015935","small ribosomal subunit","18/900","62/18405",5.20942413886993e-10,9.25292954189754e-09,7.91205771467463e-09,"553711/450009/751746/436691/393738/393723/192300/406307/751639/405889/569841/553580/777746/677743/795846/565937/558080/100000836",18
"GO:0000314","CC","GO:0000314","organellar small ribosomal subunit","11/900","21/18405",8.08921823100199e-10,1.31186017398424e-08,1.12175429015725e-08,"553711/450009/751746/436691/751639/569841/553580/777746/795846/565937/558080",11
"GO:0005763","CC","GO:0005763","mitochondrial small ribosomal subunit","11/900","21/18405",8.08921823100199e-10,1.31186017398424e-08,1.12175429015725e-08,"553711/450009/751746/436691/751639/569841/553580/777746/795846/565937/558080",11
"GO:0005753","CC","GO:0005753","mitochondrial proton-transporting ATP synthase complex","11/900","23/18405",2.83297876720212e-09,4.40292116735997e-08,3.76487967746598e-08,"406599/794625/559659/335709/402883/393675/326977/81541/798291/570370/335191",11
"GO:0045259","CC","GO:0045259","proton-transporting ATP synthase complex","11/900","24/18405",4.99919707516507e-09,7.45880203614628e-08,6.37792300536849e-08,"406599/794625/559659/335709/402883/393675/326977/81541/798291/570370/335191",11
"GO:1990904","CC","GO:1990904","ribonucleoprotein complex","52/900","493/18405",1.53854993567316e-07,2.20722740771573e-06,1.88737097372052e-06,"415167/553711/445040/393979/450009/563948/553709/436759/405881/751746/436691/678601/335396/394122/436829/553555/393738/393723/447945/325757/619260/321035/553616/192331/322237/192300/447915/550514/406307/751639/405889/192299/327011/569841/100003787/553580/100034614/777746/100535720/677743/795846/445383/565937/558080/566017/556625/30432/100007768/394097/100000836/415171/192328",52
"GO:0045263","CC","GO:0045263","proton-transporting ATP synthase complex, coupling factor F(o)","8/900","17/18405",5.19425298928025e-07,7.17576431482049e-06,6.13590119201527e-06,"406599/559659/402883/393675/326977/81541/570370/335191",8
"GO:0000276","CC","GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","7/900","14/18405",1.65716371850488e-06,2.20757881072257e-05,1.88767145378563e-05,"406599/559659/393675/326977/81541/570370/335191",7
"GO:0005751","CC","GO:0005751","mitochondrial respiratory chain complex IV","6/900","11/18405",5.02772109219648e-06,6.46668954272169e-05,5.52958072934858e-05,"326962/326975/393776/554101/406726/447942",6
"GO:1990351","CC","GO:1990351","transporter complex","32/900","283/18405",9.22238763601025e-06,0.000114665019607727,9.80485422354774e-05,"393781/436951/100000862/393821/393700/393755/796997/393497/393829/557317/415243/436768/100000992/541390/445122/447913/553660/554154/100333064/554125/406306/393943/393703/541328/393764/556538/573689/566723/797409/797063/562219/445042",32
