"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006119","BP","GO:0006119","oxidative phosphorylation","34/831","76/18057",1.29776857998475e-25,2.85638864454644e-22,2.71848365702069e-22,"393781/393700/415253/393829/751638/436768/541390/767664/554103/326962/326975/447913/554154/492519/445129/100333064/557348/563476/393776/569770/554101/100000855/447942/402883/100150991/30432/336118/566723/393731/798291/494577/569482/445042/335191",34
"GO:0045333","BP","GO:0045333","cellular respiration","39/831","126/18057",3.67005061334293e-22,4.03889069998389e-19,3.84389511608023e-19,"393781/100002948/393700/415253/796997/393829/556121/751638/436768/541390/767664/554103/326962/326975/447913/554154/492519/445129/100333064/557348/563476/393776/569770/554101/100000855/393762/447942/402883/100150991/541328/30432/336118/566723/393731/798291/494577/569482/445042/335191",39
"GO:0009060","BP","GO:0009060","aerobic respiration","35/831","105/18057",3.22584380236056e-21,2.3666940696652e-18,2.25243128656053e-18,"393781/393700/415253/796997/393829/751638/436768/541390/767664/554103/326962/326975/447913/554154/492519/445129/100333064/557348/563476/393776/569770/554101/100000855/447942/402883/100150991/30432/336118/566723/393731/798291/494577/569482/445042/335191",35
"GO:0015980","BP","GO:0015980","energy derivation by oxidation of organic compounds","39/831","168/18057",2.61883173610847e-17,1.44101216279368e-14,1.37144083022522e-14,"393781/100002948/393700/415253/796997/393829/556121/751638/436768/541390/767664/554103/326962/326975/447913/554154/492519/445129/100333064/557348/563476/393776/569770/554101/100000855/393762/447942/402883/100150991/541328/30432/336118/566723/393731/798291/494577/569482/445042/335191",39
"GO:0042775","BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","22/831","50/18057",7.65486856143161e-17,3.3696731407422e-14,3.20698703942082e-14,"393781/393700/415253/393829/751638/436768/541390/326962/326975/447913/554154/445129/100333064/393776/554101/447942/100150991/336118/566723/494577/569482/445042",22
"GO:0022900","BP","GO:0022900","electron transport chain","25/831","70/18057",2.36856386598024e-16,8.68868178170419e-14,8.26919665491348e-14,"393781/393700/415253/393829/751638/436768/541390/326962/326975/447913/554154/445129/100333064/393776/554101/447942/100150991/541328/573689/336118/566723/494577/569482/445042/100332034",25
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","44/831","227/18057",3.25675102280501e-16,1.02401557159912e-13,9.74576621861949e-14,"393781/100002948/393700/415253/796997/393829/556121/751638/436768/541390/767664/554103/326962/326975/192309/447913/554154/492519/445129/100333064/557348/563476/393776/569770/664696/554101/100000855/393762/447942/402883/100150991/541328/573689/30432/336118/566723/393731/393668/798291/494577/569482/445042/100332034/335191",44
"GO:0019646","BP","GO:0019646","aerobic electron transport chain","21/831","48/18057",4.48288475655416e-16,1.23335366864696e-13,1.17380798230826e-13,"393781/393700/415253/393829/751638/436768/541390/326962/326975/447913/554154/445129/100333064/393776/554101/447942/336118/566723/494577/569482/445042",21
"GO:0042773","BP","GO:0042773","ATP synthesis coupled electron transport","22/831","54/18057",5.65002796110804e-16,1.3817457269332e-13,1.3150357476731e-13,"393781/393700/415253/393829/751638/436768/541390/326962/326975/447913/554154/445129/100333064/393776/554101/447942/100150991/336118/566723/494577/569482/445042",22
"GO:0022904","BP","GO:0022904","respiratory electron transport chain","23/831","66/18057",6.97920277333297e-15,1.53612253041059e-12,1.46195931778238e-12,"393781/393700/415253/393829/751638/436768/541390/326962/326975/447913/554154/445129/100333064/393776/554101/447942/100150991/541328/336118/566723/494577/569482/445042",23
"GO:0009142","BP","GO:0009142","nucleoside triphosphate biosynthetic process","18/831","61/18057",1.44835698191459e-10,2.71785605316285e-08,2.58663934852295e-08,"406599/406404/335716/431724/30084/492519/559659/335709/100000855/402883/393675/326977/445486/81541/567734/798291/570370/335191",18
"GO:0009145","BP","GO:0009145","purine nucleoside triphosphate biosynthetic process","15/831","41/18057",1.60527617860595e-10,2.71785605316285e-08,2.58663934852295e-08,"406599/335716/431724/30084/492519/559659/335709/100000855/402883/393675/326977/81541/798291/570370/335191",15
"GO:0009206","BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","15/831","41/18057",1.60527617860595e-10,2.71785605316285e-08,2.58663934852295e-08,"406599/335716/431724/30084/492519/559659/335709/100000855/402883/393675/326977/81541/798291/570370/335191",15
"GO:0015986","BP","GO:0015986","proton motive force-driven ATP synthesis","12/831","26/18057",4.44044905123223e-10,6.51561890784143e-08,6.20104814873834e-08,"406599/492519/559659/335709/100000855/402883/393675/326977/81541/798291/570370/335191",12
"GO:0017004","BP","GO:0017004","cytochrome complex assembly","12/831","26/18057",4.44044905123223e-10,6.51561890784143e-08,6.20104814873834e-08,"100002948/100141351/436985/436771/415159/100190888/335493/100334510/100150991/393731/100330558/751633",12
"GO:0006123","BP","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","9/831","13/18057",5.37311556811634e-10,7.39139210339004e-08,7.03453946088916e-08,"415253/751638/326962/326975/393776/554101/447942/336118/494577",9
"GO:0009141","BP","GO:0009141","nucleoside triphosphate metabolic process","23/831","117/18057",3.03294015228445e-09,3.92676545598711e-07,3.73718322170035e-07,"406599/393744/406404/335716/431724/192309/30084/492519/557834/559659/335709/664696/100000855/402883/393675/326977/445486/81541/567734/393668/798291/570370/335191",23
"GO:0006754","BP","GO:0006754","ATP biosynthetic process","12/831","30/18057",3.35309760971254e-09,4.10009324387628e-07,3.90214283235553e-07,"406599/492519/559659/335709/100000855/402883/393675/326977/81541/798291/570370/335191",12
"GO:0009201","BP","GO:0009201","ribonucleoside triphosphate biosynthetic process","15/831","50/18057",3.86308453707998e-09,4.47507845584897e-07,4.25902394946768e-07,"406599/335716/431724/30084/492519/559659/335709/100000855/402883/393675/326977/81541/798291/570370/335191",15
"GO:0009205","BP","GO:0009205","purine ribonucleoside triphosphate metabolic process","20/831","95/18057",9.43250537376625e-09,1.03804721638298e-06,9.87930825989202e-07,"406599/406404/335716/431724/192309/30084/492519/559659/335709/664696/100000855/402883/393675/326977/445486/81541/393668/798291/570370/335191",20
"GO:0009144","BP","GO:0009144","purine nucleoside triphosphate metabolic process","20/831","97/18057",1.37576606517221e-08,1.44193386164001e-06,1.37231802992115e-06,"406599/406404/335716/431724/192309/30084/492519/559659/335709/664696/100000855/402883/393675/326977/445486/81541/393668/798291/570370/335191",20
"GO:0009199","BP","GO:0009199","ribonucleoside triphosphate metabolic process","20/831","104/18057",4.75783727835031e-08,4.75999993165865e-06,4.53018956168283e-06,"406599/406404/335716/431724/192309/30084/492519/559659/335709/664696/100000855/402883/393675/326977/445486/81541/393668/798291/570370/335191",20
"GO:0033108","BP","GO:0033108","mitochondrial respiratory chain complex assembly","14/831","52/18057",5.92883542972525e-08,5.6736377307936e-06,5.39971739366281e-06,"100002948/796997/393497/100141351/436985/553660/415159/100190888/335493/100334510/393731/569482/100330558/751633",14
"GO:0007005","BP","GO:0007005","mitochondrion organization","32/831","240/18057",6.3214810199706e-08,5.79732488539803e-06,5.51743299550065e-06,"436951/100002948/751765/796997/393497/100141351/436985/550334/767664/570965/554103/58122/751649/553660/100002535/791166/415159/393757/560369/100190888/403036/393777/335493/100334510/550504/641319/393731/569482/767645/100330558/751633/436984",32
"GO:0008535","BP","GO:0008535","respiratory chain complex IV assembly","8/831","16/18057",1.80182589513783e-07,1.58632751807935e-05,1.5097404342418e-05,"100141351/436985/415159/335493/100334510/100150991/100330558/751633",8
"GO:0007601","BP","GO:0007601","visual perception","25/831","172/18057",3.34910675470857e-07,2.83514767965907e-05,2.69826819508909e-05,"494087/30435/436716/554132/559209/566891/100037369/386614/393629/393758/101886622/564573/795575/436681/100126132/436855/415232/561929/798701/415228/100000175/558470/799807/566558/790908",25
"GO:0050953","BP","GO:0050953","sensory perception of light stimulus","25/831","178/18057",6.47950079249251e-07,5.28199305343556e-05,5.02698112166086e-05,"494087/30435/436716/554132/559209/566891/100037369/386614/393629/393758/101886622/564573/795575/436681/100126132/436855/415232/561929/798701/415228/100000175/558470/799807/566558/790908",25
"GO:0046034","BP","GO:0046034","ATP metabolic process","16/831","81/18057",7.10536244290028e-07,5.5853224060084e-05,5.31566588773367e-05,"406599/192309/492519/559659/335709/664696/100000855/402883/393675/326977/445486/81541/393668/798291/570370/335191",16
"GO:0033617","BP","GO:0033617","mitochondrial cytochrome c oxidase assembly","7/831","15/18057",1.98345639775135e-06,0.000150537501084508,0.000143269627278591,"100141351/436985/415159/335493/100334510/100330558/751633",7
"GO:0043043","BP","GO:0043043","peptide biosynthetic process","46/831","482/18057",2.41701584242986e-06,0.000177328395639604,0.000168767071102998,"550507/751732/323016/553711/445040/557397/450009/572109/100141351/553709/436759/751746/394122/324490/436829/768187/553555/393738/393723/447945/100536515/767758/322237/192300/436588/406307/751639/386901/405889/415159/192299/569841/492482/553580/751640/192325/677743/795846/565937/558080/564032/555972/393731/100007768/394097/100000836",46
"GO:0006412","BP","GO:0006412","translation","45/831","476/18057",3.98977937133748e-06,0.000283274335364961,0.000269597994871361,"751732/323016/553711/445040/557397/450009/572109/100141351/553709/436759/751746/394122/324490/436829/768187/553555/393738/393723/447945/100536515/767758/322237/192300/436588/406307/751639/386901/405889/415159/192299/569841/492482/553580/751640/192325/677743/795846/565937/558080/564032/555972/393731/100007768/394097/100000836",45
"GO:0006753","BP","GO:0006753","nucleoside phosphate metabolic process","36/831","348/18057",5.07359509944235e-06,0.000348968212933519,0.000332120205522706,"406599/393744/406404/335716/558601/431724/192309/30084/492519/557834/559659/393629/335709/570244/664696/572052/100000855/447919/402883/393675/415176/557184/402867/556673/326977/445486/81541/567734/393668/798291/393713/553804/494065/81540/570370/335191",36
"GO:0055086","BP","GO:0055086","nucleobase-containing small molecule metabolic process","40/831","408/18057",5.74914240291515e-06,0.000380240310249684,0.000361882501923466,"406599/393744/406404/436604/335716/558601/402940/554143/431724/192309/30084/492519/449556/557834/559659/393629/335709/570244/664696/572052/100000855/447919/402883/393675/415176/557184/402867/556673/326977/445486/81541/567734/393668/798291/393713/553804/494065/81540/570370/335191",40
