"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042887","MF","GO:0042887","amide transmembrane transporter activity","7/259","47/17701",5.05281533441174e-06,0.00203123176443352,0.00179241975547027,"563130/564474/334529/571044/326634/793301/570191",7
"GO:0015204","MF","GO:0015204","urea transmembrane transporter activity","4/259","11/17701",1.36320743923723e-05,0.00270028574907303,0.00238281303335327,"563130/334529/326634/570191",4
"GO:0033293","MF","GO:0033293","monocarboxylic acid binding","6/259","39/17701",2.01513861871122e-05,0.00270028574907303,0.00238281303335327,"30708/30735/568032/171481/415166/336492",6
"GO:0005504","MF","GO:0005504","fatty acid binding","5/259","29/17701",5.74854463741119e-05,0.00577728736059824,0.00509805142844097,"30708/30735/568032/171481/415166",5
"GO:0020037","MF","GO:0020037","heme binding","10/259","156/17701",0.000102045357648169,0.0082044467549128,0.00723984958472274,"393558/793309/140634/394148/259306/569245/100000079/558239/723999/322341",10
"GO:0046906","MF","GO:0046906","tetrapyrrole binding","10/259","164/17701",0.000154209122449302,0.0103320112041032,0.00911727618691487,"393558/793309/140634/394148/259306/569245/100000079/558239/723999/322341",10
"GO:0004497","MF","GO:0004497","monooxygenase activity","9/259","143/17701",0.000259418092717636,0.0148980104674985,0.0131464507136607,"793309/140634/402881/394148/259306/569245/558239/723999/322341",9
"GO:0008519","MF","GO:0008519","ammonium transmembrane transporter activity","3/259","10/17701",0.000344367477070477,0.0173044657227915,0.0152699789174672,"792274/563826/100038797",3
"GO:0008395","MF","GO:0008395","steroid hydroxylase activity","4/259","28/17701",0.000695426465759839,0.0310623821372728,0.0274103764866744,"394148/558239/723999/322341",4
"GO:0015250","MF","GO:0015250","water channel activity","3/259","13/17701",0.000794464203492899,0.0319374609804145,0.0281825722712744,"563130/334529/570191",3
"GO:0015293","MF","GO:0015293","symporter activity","8/259","141/17701",0.0011200586371184,0.0382470035512014,0.0337503016411492,"393654/326030/553256/100334171/494490/564474/387592/793301",8
"GO:0000149","MF","GO:0000149","SNARE binding","7/259","111/17701",0.00123496725277929,0.0382470035512014,0.0337503016411492,"565839/560648/334015/100000615/436686/327007/557717",7
"GO:0005372","MF","GO:0005372","water transmembrane transporter activity","3/259","15/17701",0.00123684339842194,0.0382470035512014,0.0337503016411492,"563130/334529/570191",3
"GO:0005506","MF","GO:0005506","iron ion binding","9/259","184/17701",0.00158612277737304,0.045544382607426,0.0401897275168959,"793309/140634/394148/259306/569245/558239/565942/723999/322341",9
"GO:0008238","MF","GO:0008238","exopeptidase activity","6/259","88/17701",0.00184386635718299,0.0489098255607621,0.043159495192398,"557534/492331/619255/100007104/322533/555478",6
"GO:0008236","MF","GO:0008236","serine-type peptidase activity","9/259","191/17701",0.00204798706202664,0.0489098255607621,0.043159495192398,"30735/322453/436794/445282/562051/100007104/641564/768292/326634",9
"GO:0015291","MF","GO:0015291","secondary active transmembrane transporter activity","10/259","230/17701",0.00213184781023011,0.0489098255607621,0.043159495192398,"327067/393654/326030/553256/100334171/568258/494490/564474/387592/793301",10
"GO:0017171","MF","GO:0017171","serine hydrolase activity","9/259","193/17701",0.00219796511525529,0.0489098255607621,0.043159495192398,"30735/322453/436794/445282/562051/100007104/641564/768292/326634",9
"GO:0031406","MF","GO:0031406","carboxylic acid binding","6/259","92/17701",0.00231165842202607,0.0489098255607621,0.043159495192398,"30708/30735/568032/171481/415166/336492",6
