"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009649","BP","GO:0009649","entrainment of circadian clock","9/728","15/18057",1.07898955793114e-09,2.47628103545197e-06,2.24089094505067e-06,"563926/58107/554836/140633/493613/83774/100003956/406204/378451",9
"GO:0042752","BP","GO:0042752","regulation of circadian rhythm","12/728","35/18057",5.98797807589476e-09,6.87120484208924e-06,6.21804249670546e-06,"563926/58107/554836/140633/493613/101883257/83774/494487/100003956/559447/406204/378451",12
"GO:0043153","BP","GO:0043153","entrainment of circadian clock by photoperiod","8/728","14/18057",1.62696032199005e-08,9.88093884188466e-06,8.94167748425109e-06,"563926/58107/554836/140633/83774/100003956/406204/378451",8
"GO:0048511","BP","GO:0048511","rhythmic process","21/728","122/18057",1.72216798987097e-08,9.88093884188466e-06,8.94167748425109e-06,"563926/58107/65236/559273/569109/554836/564009/563942/140633/493613/572074/30140/101883257/83774/431765/494487/100003956/559447/406204/378451/368439",21
"GO:0032922","BP","GO:0032922","circadian regulation of gene expression","12/728","42/18057",6.11918023329131e-08,2.62184898557448e-05,2.37262151062421e-05,"563926/58107/554836/564009/140633/30140/83774/431765/494487/100003956/406204/368439",12
"GO:0007623","BP","GO:0007623","circadian rhythm","17/728","88/18057",6.8545071518287e-08,2.62184898557448e-05,2.37262151062421e-05,"563926/58107/569109/554836/564009/140633/493613/30140/101883257/83774/431765/494487/100003956/559447/406204/378451/368439",17
"GO:0009648","BP","GO:0009648","photoperiodism","9/728","22/18057",8.3114229835502e-08,2.72495939246396e-05,2.465930458127e-05,"563926/58107/554836/140633/30140/83774/100003956/406204/378451",9
"GO:0098662","BP","GO:0098662","inorganic cation transmembrane transport","46/728","496/18057",1.34848255541417e-07,3.8684593308444e-05,3.50073168662126e-05,"569528/403310/768182/570745/560561/554272/565629/103909035/557843/565315/570245/494490/799747/563228/100334346/562796/568512/100005700/562853/558525/407670/564371/567809/260440/562059/560875/794222/561090/170581/571208/559447/560289/793996/567611/555284/572215/559036/565419/556480/567544/798635/387298/100006614/562422/393101/799412",46
"GO:0098703","BP","GO:0098703","calcium ion import across plasma membrane","8/728","22/18057",1.29938474113273e-06,0.000331343108988847,0.000299846326813437,"569528/403310/560561/562796/568512/562059/170581/387298",8
"GO:0034765","BP","GO:0034765","regulation of monoatomic ion transmembrane transport","26/728","227/18057",1.68812199499291e-06,0.000387423997850873,0.000350596283802212,"569528/403310/797337/103909035/799747/562796/100005700/562853/564371/566868/562059/560875/794222/100535437/561090/170581/571208/559447/560289/793996/555284/559036/565419/100006614/562422/393101",26
"GO:0040007","BP","GO:0040007","growth","39/728","438/18057",3.30934400940262e-06,0.000690449500143546,0.000624816816320704,"563644/573376/561737/386966/556123/559639/353363/30449/100003691/57936/245701/64270/562398/103752590/558848/560785/245700/30656/559593/324910/170581/446213/569360/60658/569395/334003/494158/794892/100000009/566674/562822/100331504/544659/796720/555655/100005469/368439/567674/100334415",39
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","23/728","197/18057",4.80466499835055e-06,0.000918892180934543,0.000831544214188214,"554016/793954/553300/503521/407978/493591/493592/493598/567508/562934/569256/569664/100004469/100149950/560933/568508/100004929/723994/560426/140820/562531/794892/100008568",23
"GO:0043269","BP","GO:0043269","regulation of monoatomic ion transport","26/728","243/18057",5.97484960610835e-06,0.000985003558431703,0.00089137118256427,"569528/403310/797337/103909035/799747/562796/100005700/562853/564371/566868/562059/560875/794222/100535437/561090/170581/571208/559447/560289/793996/555284/559036/565419/100006614/562422/393101",26
"GO:0070588","BP","GO:0070588","calcium ion transmembrane transport","20/728","159/18057",6.43495124192347e-06,0.000985003558431703,0.00089137118256427,"569528/403310/768182/570745/560561/570245/100334346/562796/568512/100005700/558525/260440/562059/560875/794222/170581/567611/387298/562422/799412",20
"GO:0034762","BP","GO:0034762","regulation of transmembrane transport","26/728","244/18057",6.43793175445557e-06,0.000985003558431703,0.00089137118256427,"569528/403310/797337/103909035/799747/562796/100005700/562853/564371/566868/562059/560875/794222/100535437/561090/170581/571208/559447/560289/793996/555284/559036/565419/100006614/562422/393101",26
"GO:0048589","BP","GO:0048589","developmental growth","35/728","389/18057",8.36899379545806e-06,0.00115479176956408,0.00104501968184838,"563644/573376/561737/386966/556123/353363/30449/57936/245701/64270/562398/558848/560785/245700/30656/559593/324910/170581/446213/569360/60658/569395/334003/494158/794892/100000009/566674/562822/544659/796720/555655/100005469/368439/567674/100334415",35
"GO:0010975","BP","GO:0010975","regulation of neuron projection development","20/728","162/18057",8.55401310788211e-06,0.00115479176956408,0.00104501968184838,"561737/556123/799320/64270/562398/562946/558848/30656/561285/795761/100333657/568668/324910/570240/100000009/100331504/100537719/566546/544659/368439",20
"GO:0098609","BP","GO:0098609","cell-cell adhesion","37/728","430/18057",1.27354296689987e-05,0.00162376728279733,0.001469415364733,"101887161/100536533/554016/793954/553300/503521/407978/493591/493592/493598/567508/101884950/562934/569256/569664/100004469/100149950/393220/100330886/560933/568508/100004929/723994/560426/140820/30656/321243/562531/494158/794892/797838/100141327/30223/100008568/100005469/100331333/100147967",37
"GO:0042391","BP","GO:0042391","regulation of membrane potential","20/728","167/18057",1.35146423075503e-05,0.00163242653135936,0.00147725148325743,"568486/100333648/556202/565629/103909035/557843/494490/493613/563228/566514/553402/100538116/560875/559447/560289/793996/100006941/100006614/100333073/393101",20
"GO:0097553","BP","GO:0097553","calcium ion transmembrane import into cytosol","10/728","47/18057",1.42647452904675e-05,0.00163687952208115,0.00148128118200486,"569528/403310/570745/560561/570245/562796/568512/562059/170581/387298",10
"GO:0045332","BP","GO:0045332","phospholipid translocation","9/728","40/18057",2.3799496937046e-05,0.002484120857479,0.00224798553001081,"368385/568160/777704/566530/100330943/559291/553392/100535437/100330945",9
"GO:0007214","BP","GO:0007214","gamma-aminobutyric acid signaling pathway","6/728","16/18057",2.3812923252522e-05,0.002484120857479,0.00224798553001081,"556202/373873/558708/553402/100538116/100008568",6
"GO:0034204","BP","GO:0034204","lipid translocation","9/728","41/18057",2.94119956835065e-05,0.00285303939158882,0.00258183544070852,"368385/568160/777704/566530/100330943/559291/553392/100535437/100330945",9
"GO:0007169","BP","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","29/728","314/18057",3.03833885808253e-05,0.00285303939158882,0.00258183544070852,"100007677/101885162/497629/573376/386966/445474/567369/559639/562032/572411/245701/404211/64270/402973/30256/245700/337413/569727/568668/767667/566919/570240/101448000/100330147/100003659/555721/30223/100002454/795902",29
"GO:0000904","BP","GO:0000904","cell morphogenesis involved in differentiation","40/728","500/18057",3.10788604748238e-05,0.00285303939158882,0.00258183544070852,"101887161/561737/564701/386966/556123/494130/407978/799734/393220/561005/64270/402973/562398/558848/564098/30656/321243/561285/795761/65234/641469/569971/100333657/797545/324910/569360/60658/795920/794892/101883074/100000009/566674/30223/335250/566546/544659/557014/100005469/795902/368439",40
"GO:0006816","BP","GO:0006816","calcium ion transport","20/728","182/18057",4.7456610681716e-05,0.00418895851978994,0.00379076489372574,"569528/403310/768182/570745/560561/570245/100334346/562796/568512/100005700/558525/260440/562059/560875/794222/170581/567611/387298/562422/799412",20
"GO:0097035","BP","GO:0097035","regulation of membrane lipid distribution","9/728","44/18057",5.34123130980988e-05,0.0045400466133384,0.00410847928820854,"368385/568160/777704/566530/100330943/559291/553392/100535437/100330945",9
"GO:0050770","BP","GO:0050770","regulation of axonogenesis","13/728","90/18057",6.26206072082972e-05,0.00513265334082293,0.00464475406097633,"561737/556123/64270/562398/558848/30656/561285/795761/100333657/324910/100000009/566546/544659",13
"GO:0071526","BP","GO:0071526","semaphorin-plexin signaling pathway","9/728","46/18057",7.72345992223274e-05,0.00611218638673246,0.00553117474648464,"402973/562398/561285/795761/100333657/324910/100000009/566546/544659",9
"GO:0061564","BP","GO:0061564","axon development","36/728","452/18057",8.39040182710523e-05,0.00629395194266063,0.00569566204924638,"561737/564701/386966/556123/494130/799734/64270/402973/562398/562946/558848/30656/321243/561285/795761/65234/641469/569971/100333657/797545/324910/569360/60658/795920/794892/100000009/566674/110351181/30223/335250/566546/100144409/544659/557014/795902/368439",36
"GO:0043087","BP","GO:0043087","regulation of GTPase activity","22/728","220/18057",8.50163443235205e-05,0.00629395194266063,0.00569566204924638,"566318/563578/100535556/564518/561879/568424/100535325/799094/65227/563441/561005/100331732/561285/795761/324332/100333657/553520/799686/30223/566546/100002454/557014",22
"GO:0120035","BP","GO:0120035","regulation of plasma membrane bounded cell projection organization","22/728","222/18057",9.7178286425555e-05,0.00696950522958277,0.00630699865518487,"561737/556123/799320/64270/402973/562398/562946/558848/30656/561285/795761/100333657/568668/324910/570240/100000009/100331504/799686/100537719/566546/544659/368439",22
"GO:0040008","BP","GO:0040008","regulation of growth","18/728","163/18057",0.000104974710565752,0.00730051396207273,0.00660654239062928,"561737/556123/559639/100003691/57936/64270/562398/103752590/558848/560785/30656/324910/569360/100000009/100331504/544659/368439/567674",18
"GO:0031344","BP","GO:0031344","regulation of cell projection organization","22/728","224/18057",0.000110862803313844,0.00748323922368449,0.00677189817146175,"561737/556123/799320/64270/402973/562398/562946/558848/30656/561285/795761/100333657/568668/324910/570240/100000009/100331504/799686/100537719/566546/544659/368439",22
"GO:0099536","BP","GO:0099536","synaptic signaling","32/728","390/18057",0.000119001297850863,0.00779958247526812,0.00705817049590827,"568486/569528/572002/100333648/556202/558055/569664/494490/799747/493613/568195/562796/566514/553402/100538116/568618/567877/794932/562059/794222/352938/60658/562345/570240/559447/572215/100006941/110351181/563377/557014/562422/100147967",32
