"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed","delabel"
"ENSDARG00000002791","ENSDARG00000002791",573.037206550078,0.83773238617944,0.0875652223636478,9.56695322145633,1.10102498078485e-21,5.61717038726296e-19,"atp1a1a.1","UP","atp1a1a.1"
"ENSDARG00000017441","ENSDARG00000017441",3225.46830633291,1.07078345008076,0.0449055885706888,23.8452157997033,1.13524938120766e-125,9.84601788321405e-122,"mylz3","UP","mylz3"
"ENSDARG00000015803","ENSDARG00000015803",85.5959714161931,0.783205222403164,0.204642875023313,3.82718050806284,0.000129619462328606,0.00301795864906309,"smcr8b","UP","smcr8b"
"ENSDARG00000113858","ENSDARG00000113858",40.9201064462715,0.94249725638095,0.283586037809158,3.32349668432975,0.000888964795487274,0.0134203510378784,"AL928650.4","UP","AL928650.4"
"ENSDARG00000101597","ENSDARG00000101597",76.0717055030683,-0.648829747889111,0.227772470793619,-2.84858721349607,0.00439138155567108,0.045072724535308,"si:dkeyp-57d7.4","DOWN","si:dkeyp-57d7.4"
"ENSDARG00000091916","ENSDARG00000091916",235.950754762879,0.565110019901832,0.137231348023205,4.11793681285032,3.8227947155738e-05,0.00110333106716045,"ugt5b4","UP","ugt5b4"
"ENSDARG00000099276","ENSDARG00000099276",188.056304059111,0.549177777336159,0.14944278731231,3.6748362849287,0.000238001977986816,0.00487184712354334,"ugt5b2","UP","ugt5b2"
"ENSDARG00000104995","ENSDARG00000104995",87.0329968954406,0.606643953050818,0.215308303742258,2.81755948333986,0.00483901503518443,0.047854934321727,"ugt5b1","UP","ugt5b1"
"ENSDARG00000018263","ENSDARG00000018263",432.272471878545,0.961408256619071,0.112434475461097,8.55083151921428,1.22204896516091e-17,4.03967074930443e-15,"pdia2","UP","pdia2"
"ENSDARG00000077652","ENSDARG00000077652",67.4178555108942,1.21655035336924,0.241455192315593,5.03841040526955,4.69414062908785e-07,2.56859821300183e-05,"lratb.2","UP","lratb.2"
"ENSDARG00000037484","ENSDARG00000037484",125.040082529883,-0.691712073019815,0.195127574363677,-3.54492221448214,0.000392728964908519,0.00726255503763664,"tmem192","DOWN","tmem192"
"ENSDARG00000008068","ENSDARG00000008068",90.1960971915831,-0.747744379034002,0.202767902447083,-3.68768611801931,0.000226302560136116,0.00468989750074202,"tma16","DOWN","tma16"
"ENSDARG00000089334","ENSDARG00000089334",109.702920044924,0.573378076390286,0.179206934496785,3.19953063200561,0.00137651558672137,0.018756511678923,"ednrba","UP","ednrba"
"ENSDARG00000031202","ENSDARG00000031202",143.253014347571,-0.606758336333041,0.158447509399158,-3.82939648994107,0.000128457900044351,0.00299896464894927,"alg11","DOWN","alg11"
"ENSDARG00000087178","ENSDARG00000087178",52.1416852168648,1.21892050533142,0.262797701671932,4.6382464442291,3.51377658558404e-06,0.000151240617006305,"scpp9","UP","scpp9"
"ENSDARG00000098805","ENSDARG00000098805",70.6147823847553,1.0322956989505,0.236305866337619,4.36847258576146,1.25118519104232e-05,0.000446564986086833,"vwa11","UP","vwa11"
"ENSDARG00000030972","ENSDARG00000030972",455.187056884513,-0.899731955388874,0.102648848982604,-8.76514412296381,1.86537872095162e-18,7.35383165764244e-16,"dnaja1","DOWN","dnaja1"
"ENSDARG00000051970","ENSDARG00000051970",380.803336509777,-0.755460930901581,0.111911532121174,-6.75051906253585,1.47317162797585e-11,2.06077702087654e-09,"smu1b","DOWN","smu1b"
"ENSDARG00000069566","ENSDARG00000069566",60.1119779138659,1.25171043261114,0.297217420549103,4.21143023951499,2.53758920684862e-05,0.00078044365925525,"mucms1","UP","mucms1"
"ENSDARG00000075785","ENSDARG00000075785",69.1350743561653,0.99813001593764,0.220300407021643,4.53076791564702,5.87696727669803e-06,0.00023488911147835,"si:ch73-190m4.1","UP","si:ch73-190m4.1"
"ENSDARG00000043587","ENSDARG00000043587",110.469442719672,0.536247828841498,0.190545169893832,2.81428193189197,0.00488863329691198,0.0481534543828706,"srd5a2a","UP","srd5a2a"
"ENSDARG00000031952","ENSDARG00000031952",890.562506148363,0.792898002492568,0.0925985365785616,8.56274874084933,1.10207935901837e-17,3.82333371230654e-15,"mb","UP","mb"
"ENSDARG00000041394","ENSDARG00000041394",318.963481352328,-0.610178800914698,0.116193555838735,-5.25139967109333,1.50947746223693e-07,9.25208341341407e-06,"dnajb1b","DOWN","dnajb1b"
"ENSDARG00000087359","ENSDARG00000087359",504.801753503974,0.627116072882332,0.115083017583671,5.44924947268079,5.05828198706757e-08,3.41404511080444e-06,"c3a.2","UP","c3a.2"
"ENSDARG00000052207","ENSDARG00000052207",465.048885786799,0.662004483766436,0.228468095173928,2.89757956471982,0.00376054338003531,0.0402408300247331,"c3a.3","UP","c3a.3"
"ENSDARG00000052035","ENSDARG00000052035",149.029883292528,0.548566131634003,0.165320108642875,3.31820572909867,0.000905977290201051,0.013617922076107,"nxnl1","UP","nxnl1"
"ENSDARG00000105060","ENSDARG00000105060",159.247660495994,0.518646447437334,0.157445168185476,3.29414013408369,0.000987232671619126,0.0146238581741293,"rdh8b","UP","rdh8b"
"ENSDARG00000103295","ENSDARG00000103295",311.856219836624,0.944237196961174,0.114828030159161,8.22305490786861,1.98383953512087e-16,5.73528009603445e-14,"cyp3a65","UP","cyp3a65"
"ENSDARG00000034403","ENSDARG00000034403",161.658428578229,-0.95289296793623,0.210189601881061,-4.53349242497467,5.80163477604802e-06,0.000232951751910484,"zgc:173443","DOWN","zgc:173443"
