"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",11355.3623039825,-0.220990575716039,0.0379764642202701,-5.8191456275196,5.91491843111301e-09,4.90382011079874e-07
"ENSDARG00000102407",244.249094959638,-0.342912338071625,0.133272125261143,-2.57302370919424,0.0100814301226259,0.0813886996455232
"ENSDARG00000102097",181.664518994364,-0.167498974306994,0.141908987168385,-1.18032675483932,0.237870280990435,0.547702442787288
"ENSDARG00000099640",307.554088151003,-0.449429748839031,0.11301868299305,-3.97659693899165,6.99085082301701e-05,0.00184852588987886
"ENSDARG00000104071",236.621538407577,-0.362622502225888,0.125729484678346,-2.88414848079261,0.00392473654039592,0.0413599514153752
"ENSDARG00000102746",531.586763535864,-0.391629963790464,0.0894572570466373,-4.37784453402471,1.19858795628573e-05,0.000435863871902143
"ENSDARG00000103929",471.413945806276,-0.136062387981767,0.0900216460501887,-1.51144079176146,0.130676183005771,0.400620196256293
"ENSDARG00000101073",41.2067266359824,0.252517025462536,0.328845997560603,0.767888395588574,0.44255349219991,0.734315369781867
"ENSDARG00000100223",1436.38834362526,-0.0289151373072061,0.0634076980916054,-0.456019350606803,0.648376063318159,0.858791325161636
"ENSDARG00000100782",98.5459681113935,0.148890153744848,0.223781364341729,0.665337590477298,0.50583459262182,0.776203719357581
"ENSDARG00000034862",166.912369077339,-0.292036101666403,0.148541017857262,-1.96603002914004,0.0492951419476438,0.225494074953542
"ENSDARG00000075827",130.012765471332,-0.520112933191183,0.196701598374062,-2.64417237831539,0.00818909399643652,0.07021277058428
"ENSDARG00000088581",1281.32908590298,-0.0306057558442809,0.0849018163654961,-0.360484111582788,0.718485136213577,0.893510236587212
"ENSDARG00000076900",63.3897216263095,0.177301285846756,0.229823282413171,0.771467903447692,0.440429639980793,0.733387014985776
"ENSDARG00000013802",246.417156851452,-0.0675814058254667,0.123136325282498,-0.548834031472208,0.583119353358144,0.82291231983958
"ENSDARG00000096578",585.296196242958,-0.0524425647737769,0.0886950008059642,-0.591268552874859,0.554340496585733,0.807108623701138
"ENSDARG00000109848",4.15657117984194,1.1825186004433,0.874705003188467,1.35190560947153,0.176405512845169,NA
"ENSDARG00000100181",165.723991050585,0.178041553890148,0.146021361731259,1.21928430045612,0.22273630525902,0.53061332981542
"ENSDARG00000029936",185.670972842495,0.175478829644433,0.154344739223645,1.13692783134102,0.255568456356284,0.568855440004633
"ENSDARG00000041589",41.6268533174542,-0.23896523812637,0.310479214865778,-0.769665815567318,0.441498152888741,0.734085803779299
