"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed","delabel"
"ENSDARG00000045768","ENSDARG00000045768",1272.74404847716,-0.519236346317087,0.0618247951379682,-8.39851301016622,4.52167872532661e-17,2.52686479433669e-14,"cry1a","DOWN","cry1a"
"ENSDARG00000001953","ENSDARG00000001953",564.781260616641,0.811851475775752,0.125872938645498,6.4497697798429,1.1202018631226e-10,2.83474479022648e-08,"pfkfb3","UP","pfkfb3"
"ENSDARG00000116179","ENSDARG00000116179",3467.53644947444,-1.01750442777453,0.307324699067279,-3.31084494953586,0.000930147314588089,0.0326574235163755,"CT583728.25","DOWN","CT583728.25"
"ENSDARG00000089382","ENSDARG00000089382",3249.6019546361,-1.07407945416957,0.338220771773433,-3.17567560542696,0.00149488013493045,0.0460904192406604,"zgc:158463","DOWN","zgc:158463"
"ENSDARG00000035602","ENSDARG00000035602",274.283239041882,-0.524637480358216,0.128768998640366,-4.07425301041174,4.61622749518103e-05,0.00324151011337005,"dao.1","DOWN","dao.1"
"ENSDARG00000003281","ENSDARG00000003281",666.55584743387,0.804575153485511,0.0951820166695862,8.45301645875506,2.83871642187272e-17,1.65534194131117e-14,"pik3ip1","UP","pik3ip1"
"ENSDARG00000010752","ENSDARG00000010752",463.774613361919,0.777557479278136,0.101768973681269,7.64041781253857,2.16517970217136e-14,8.79981520167343e-12,"acsl4b","UP","acsl4b"
"ENSDARG00000018898","ENSDARG00000018898",1805.98365232769,0.558696076221647,0.0568816868927851,9.82207291557157,9.04638872245096e-23,8.66644039610802e-20,"zfand5a","UP","zfand5a"
"ENSDARG00000068194","ENSDARG00000068194",530.131018086359,-0.561098681837576,0.118434073846029,-4.73764570968856,2.16215387111733e-06,0.000224796959065315,"klf9","DOWN","klf9"
"ENSDARG00000035519","ENSDARG00000035519",14869.5944810258,1.0613120029082,0.0609073656990936,17.4250189730993,5.32907692082159e-68,7.14735796620591e-64,"histh1l","UP","histh1l"
"ENSDARG00000079497","ENSDARG00000079497",417.490972816747,0.512663708296317,0.112505090733937,4.55680454059378,5.19377140362829e-06,0.000473869809969134,"tcima","UP","tcima"
"ENSDARG00000093303","ENSDARG00000093303",137.528561822981,0.81000586680161,0.159302899337311,5.08469004752065,3.68226900215227e-07,4.7487107554679e-05,"ifitm1","UP","ifitm1"
"ENSDARG00000052690","ENSDARG00000052690",2099.06192401202,0.571537513686158,0.0590996796752757,9.67073792660943,4.01472686355296e-22,3.36534479337327e-19,"arrdc3a","UP","arrdc3a"
"ENSDARG00000077764","ENSDARG00000077764",133.90361039669,-0.52156874130787,0.165176610167318,-3.1576428453129,0.00159050291002166,0.0483714853270079,"faah","DOWN","faah"
