"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed","delabel"
"ENSDARG00000102097","ENSDARG00000102097",126.371893831107,-0.526826177356329,0.196299638578068,-2.68378577348634,0.00727937336067231,0.0334638908670203,"nfkbiz","DOWN","nfkbiz"
"ENSDARG00000029936","ENSDARG00000029936",137.090747606738,-0.704935163274093,0.16795235844557,-4.19723289269884,2.70196041074814e-05,0.000321580237262439,"grtp1a","DOWN","grtp1a"
"ENSDARG00000063385","ENSDARG00000063385",1363.17379958408,0.688881068402287,0.0672464968543585,10.2441182905669,1.25766310132239e-24,3.46975275620388e-22,"cenpe","UP","cenpe"
"ENSDARG00000077688","ENSDARG00000077688",13.2550339121511,-2.29059751136618,0.58263426114769,-3.93145007788263,8.44350309549108e-05,0.000851811810507033,"cpo","DOWN","cpo"
"ENSDARG00000092671","ENSDARG00000092671",166.940435251289,0.63730529045965,0.165614802469548,3.84811792760391,0.000119028755970413,0.00114221604280014,"pard3ba","UP","pard3ba"
"ENSDARG00000079779","ENSDARG00000079779",171.187357761524,0.530379309527619,0.153889771370653,3.44648838453447,0.000567922978842176,0.0042586719712046,"radil","UP","radil"
"ENSDARG00000015803","ENSDARG00000015803",80.5925289051919,-0.630626932936107,0.240113735977527,-2.6263675852144,0.00863015632641375,0.0381460725062252,"smcr8b","DOWN","smcr8b"
"ENSDARG00000094206","ENSDARG00000094206",31.7130879771764,-1.12895262103649,0.391283948992409,-2.88525155182993,0.00391101021779108,0.0204820213462173,"si:ch73-191k20.3","DOWN","si:ch73-191k20.3"
"ENSDARG00000091916","ENSDARG00000091916",177.460615709225,-1.11906974183952,0.153104065895919,-7.30920981941958,2.6871788965833e-13,2.33092234068693e-11,"ugt5b4","DOWN","ugt5b4"
"ENSDARG00000099276","ENSDARG00000099276",149.183019434893,-0.928921414551444,0.165773481968931,-5.6035585638814,2.09995118517409e-08,5.95056067650472e-07,"ugt5b2","DOWN","ugt5b2"
"ENSDARG00000104995","ENSDARG00000104995",69.9039123353472,-0.944914865366156,0.25110777209664,-3.76298534082212,0.000167897046865633,0.00152846330840465,"ugt5b1","DOWN","ugt5b1"
"ENSDARG00000018263","ENSDARG00000018263",374.183759299472,-1.03370977488167,0.125262420027561,-8.25235353631381,1.55305176930809e-16,2.26836914305412e-14,"pdia2","DOWN","pdia2"
"ENSDARG00000077652","ENSDARG00000077652",51.3162335376595,-1.91533108416747,0.276893185085561,-6.9172200232217,4.60592451254897e-12,3.08054156623814e-10,"lratb.2","DOWN","lratb.2"
"ENSDARG00000070504","ENSDARG00000070504",15.1983618712296,1.38350779664545,0.519358104574915,2.66388024844211,0.00772450555064904,0.03506388899865,"trpc5a","UP","trpc5a"
"ENSDARG00000070239","ENSDARG00000070239",304.664757494226,0.649811456178033,0.123710963403354,5.25265860277355,1.49919268859063e-07,3.42692331026056e-06,"knl1","UP","knl1"
"ENSDARG00000091609","ENSDARG00000091609",17.8609859169187,-1.50965961688787,0.448052413265632,-3.36938173345548,0.000753370133599836,0.00537379031289601,"spink4","DOWN","spink4"
"ENSDARG00000078525","ENSDARG00000078525",10.871668416974,6.65847426924812,2.41998362572148,2.75145426542422,0.00593313038954321,0.0285641546432105,"noctb","UP","noctb"
"ENSDARG00000012903","ENSDARG00000012903",29.1841623357994,-1.38387800946248,0.362200635485378,-3.82074981068979,0.00013304656642439,0.00125371773977898,"slc34a2a","DOWN","slc34a2a"
"ENSDARG00000106258","ENSDARG00000106258",15.2061246130764,1.41814286144921,0.509109226681413,2.78553753718678,0.00534390522589623,0.026223155485969,"SGCZ","UP","SGCZ"
"ENSDARG00000070412","ENSDARG00000070412",220.308490039324,0.666767156823553,0.14047497675593,4.74651907565031,2.06947215746268e-06,3.53465132724322e-05,"mtmr7b","UP","mtmr7b"
"ENSDARG00000011023","ENSDARG00000011023",18.0126043488593,-1.39932310139999,0.492326919171608,-2.84226404632617,0.00447943751007717,0.0228211199538786,"pdlim3a","DOWN","pdlim3a"
"ENSDARG00000062132","ENSDARG00000062132",221.785087387274,-0.815363786614384,0.1531488759182,-5.32399458844144,1.01512927636336e-07,2.41202487388538e-06,"cyp4v8","DOWN","cyp4v8"
"ENSDARG00000062122","ENSDARG00000062122",80.3085640141167,0.718550384372103,0.227922134378324,3.15261344112983,0.00161815933554087,0.00996685799726633,"klhl5","UP","klhl5"
"ENSDARG00000015495","ENSDARG00000015495",270.332227491972,-0.856376276153344,0.141302563459385,-6.06058556325834,1.35626879110779e-09,5.02434837934777e-08,"klf3","DOWN","klf3"
"ENSDARG00000019945","ENSDARG00000019945",697.523143158853,0.508698156476285,0.12176657098135,4.17765033848411,2.945359812801e-05,0.000345579606151678,"ptprdb","UP","ptprdb"
"ENSDARG00000041776","ENSDARG00000041776",145.588332929531,0.653056224912061,0.182793244727029,3.5726496670448,0.00035338738942159,0.00287338808983645,"ndst3","UP","ndst3"
"ENSDARG00000037455","ENSDARG00000037455",200.5655383236,0.558954242276633,0.155791740626075,3.58782975291489,0.000333441887868703,0.00273924303582461,"ugt8","UP","ugt8"
