"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098703","BP","GO:0098703","calcium ion import across plasma membrane","12/486","22/18057",6.399403479032e-14,1.19284880849156e-10,1.05219665623663e-10,"569528/403310/560561/567212/567702/562796/568512/562059/170581/555941/557499/559964",12
"GO:0034765","BP","GO:0034765","regulation of monoatomic ion transmembrane transport","27/486","227/18057",1.02924368822261e-10,7.79008244979868e-08,6.87153195537923e-08,"569528/403310/797337/563904/556841/566069/555691/103909035/378958/567702/562796/101154640/562853/565158/100334453/559096/562059/170581/571208/555941/559447/560289/793996/559036/559964/562422/393101",27
"GO:0099536","BP","GO:0099536","synaptic signaling","36/486","390/18057",1.25376863462425e-10,7.79008244979868e-08,6.87153195537923e-08,"570493/337236/497638/100334264/550457/569528/572002/100331262/556202/559786/563414/567702/100125749/493613/555195/562796/566514/553402/100538116/567877/565158/569861/562059/352938/60658/555941/570240/559447/572215/569398/110351181/563377/797331/557014/562422/100147967",36
"GO:0098662","BP","GO:0098662","inorganic cation transmembrane transport","41/486","496/18057",1.91814922198245e-10,8.93857537443822e-08,7.88460285456997e-08,"569528/403310/563904/768182/556841/560561/566069/555691/567212/103909035/562585/378958/553256/567702/100004419/562796/568512/559586/101154640/562853/565158/100334453/559096/562059/170581/571208/555941/563670/559447/560289/793996/567611/572215/559036/557499/556480/559964/797331/562422/393101/799412",41
"GO:0043269","BP","GO:0043269","regulation of monoatomic ion transport","27/486","243/18057",4.85083370699057e-10,1.65277584115343e-07,1.45789240110778e-07,"569528/403310/797337/563904/556841/566069/555691/103909035/378958/567702/562796/101154640/562853/565158/100334453/559096/562059/170581/571208/555941/559447/560289/793996/559036/559964/562422/393101",27
"GO:0034762","BP","GO:0034762","regulation of transmembrane transport","27/486","244/18057",5.32009390929215e-10,1.65277584115343e-07,1.45789240110778e-07,"569528/403310/797337/563904/556841/566069/555691/103909035/378958/567702/562796/101154640/562853/565158/100334453/559096/562059/170581/571208/555941/559447/560289/793996/559036/559964/562422/393101",27
"GO:0097553","BP","GO:0097553","calcium ion transmembrane import into cytosol","12/486","47/18057",2.80333724486890e-09,7.28657266250471e-07,6.42739242084502e-07,"569528/403310/560561/567212/567702/562796/568512/562059/170581/555941/557499/559964",12
"GO:0099537","BP","GO:0099537","trans-synaptic signaling","33/486","378/18057",3.12728440450846e-09,7.28657266250471e-07,6.42739242084502e-07,"570493/337236/497638/100334264/550457/569528/572002/100331262/556202/563414/567702/100125749/555195/562796/566514/553402/100538116/567877/565158/569861/562059/352938/60658/555941/570240/572215/569398/110351181/563377/797331/557014/562422/100147967",33
"GO:0070588","BP","GO:0070588","calcium ion transmembrane transport","20/486","159/18057",1.07089666091809e-08,2.21794597327924e-06,1.95642173608661e-06,"569528/403310/563904/768182/560561/567212/562585/567702/562796/568512/559586/565158/562059/170581/555941/567611/557499/559964/562422/799412",20
"GO:0006897","BP","GO:0006897","endocytosis","26/486","270/18057",2.09792990683736e-08,3.91054134634483e-06,3.44943843629469e-06,"337236/100534954/565844/563149/100538038/564367/553266/492695/378958/556132/494477/556371/562949/565136/567877/565797/100004793/100307098/571626/110351181/558990/100001424/560887/559293/568184/100147967",26
